id,Country,Amount
115986,DE,706
115987,UK,42
115988,DE,528
115989,UK,89
115990,UK,378
115991,FR,802
115992,FR,75
115993,UK,971
115994,DE,994
115995,UK,823
115996,UK,688
115997,DE,996
115998,UK,449
115999,FR,995
116000,FR,920
116001,UK,715
116002,UK,15
116003,UK,494
116004,DE,543
116005,UK,941
116006,FR,432
116007,FR,715
116008,FR,649
116009,FR,930
116010,UK,62
116011,FR,3
116012,DE,218
116013,DE,111
116014,DE,756
116015,DE,437
116016,FR,434
116017,FR,483
116018,FR,934
116019,DE,722
116020,DE,803
116021,FR,125
116022,UK,921
116023,FR,239
116024,DE,645
116025,DE,338
116026,UK,461
116027,FR,708
116028,FR,849
116029,FR,969
116030,UK,848
116031,UK,987
116032,DE,2
116033,FR,132
116034,DE,393
116035,FR,923
116036,FR,309
116037,FR,270
116038,UK,449
116039,UK,802
116040,UK,678
116041,FR,692
116042,FR,989
116043,FR,63
116044,DE,361
116045,FR,746
116046,UK,755
116047,FR,949
116048,UK,22
116049,UK,823
116050,UK,978
116051,UK,917
116052,UK,856
116053,UK,840
116054,DE,959
116055,UK,515
116056,FR,276
116057,DE,787
116058,DE,419
116059,FR,359
116060,UK,356
116061,DE,795
116062,DE,155
116063,DE,930
116064,UK,34
116065,DE,135
116066,DE,540
116067,DE,804
116068,UK,795
116069,FR,50
116070,DE,503
116071,FR,941
116072,UK,154
116073,DE,186
116074,DE,627
116075,DE,332
116076,FR,241
116077,UK,328
116078,DE,273
116079,FR,685
116080,DE,84
116081,UK,455
116082,FR,599
116083,FR,899
116084,FR,185
116085,FR,820
116086,DE,6
116087,FR,682
116088,DE,587
116089,DE,598
116090,UK,618
116091,FR,701
116092,UK,201
116093,UK,636
116094,FR,274
116095,UK,916
116096,UK,449
116097,FR,882
116098,DE,707
116099,DE,375
116100,DE,235
116101,UK,309
116102,FR,249
116103,DE,104
116104,UK,943
116105,FR,226
116106,DE,542
116107,FR,86
116108,UK,620
116109,UK,354
116110,UK,763
116111,UK,497
116112,FR,345
116113,UK,921
116114,UK,130
116115,UK,612
116116,DE,422
116117,UK,677
116118,DE,217
116119,DE,561
116120,DE,639
116121,DE,579
116122,FR,167
116123,UK,678
116124,FR,786
116125,UK,733
116126,UK,403
116127,DE,634
116128,FR,219
116129,UK,168
116130,UK,340
116131,UK,37
116132,UK,380
116133,UK,364
116134,DE,320
116135,UK,153
116136,DE,882
116137,DE,463
116138,UK,800
116139,DE,830
116140,FR,774
116141,UK,18
116142,UK,362
116143,DE,644
116144,FR,600
116145,UK,832
116146,UK,544
116147,DE,506
116148,DE,797
116149,DE,849
116150,DE,277
116151,DE,789
116152,UK,731
116153,DE,895
116154,UK,746
116155,UK,542
116156,DE,618
116157,UK,630
116158,DE,481
116159,UK,235
116160,DE,618
116161,DE,549
116162,DE,894
116163,DE,169
116164,UK,128
116165,DE,560
116166,DE,723
116167,FR,382
116168,DE,356
116169,FR,387
116170,DE,870
116171,UK,904
116172,DE,647
116173,FR,130
116174,UK,429
116175,UK,710
116176,FR,384
116177,DE,874
116178,UK,186
116179,DE,717
116180,FR,598
116181,UK,347
116182,DE,832
116183,UK,226
116184,DE,876
116185,DE,55
116186,UK,98
116187,UK,27
116188,UK,845
116189,DE,648
116190,FR,616
116191,DE,283
116192,UK,891
116193,UK,818
116194,UK,702
116195,FR,450
116196,DE,301
116197,DE,809
116198,UK,925
116199,DE,679
116200,UK,464
116201,UK,717
116202,UK,722
116203,FR,460
116204,FR,990
116205,UK,328
116206,UK,739
116207,DE,298
116208,UK,49
116209,UK,868
116210,DE,751
116211,UK,403
116212,DE,741
116213,FR,180
116214,DE,184
116215,UK,447
116216,DE,85
116217,UK,979
116218,FR,143
116219,UK,360
116220,DE,471
116221,UK,377
116222,UK,808
116223,UK,926
116224,DE,353
116225,FR,313
116226,FR,786
116227,FR,112
116228,DE,480
116229,FR,157
116230,DE,831
116231,UK,823
116232,FR,162
116233,UK,506
116234,FR,519
116235,UK,201
116236,FR,534
116237,DE,748
116238,DE,965
116239,UK,161
116240,DE,437
116241,UK,915
116242,DE,447
116243,UK,127
116244,UK,149
116245,DE,523
116246,UK,522
116247,UK,851
116248,DE,955
116249,FR,686
116250,FR,864
116251,DE,21
116252,FR,976
116253,FR,366
116254,DE,505
116255,FR,130
116256,UK,643
116257,UK,182
116258,UK,994
116259,DE,397
116260,UK,918
116261,FR,610
116262,UK,570
116263,FR,949
116264,DE,552
116265,UK,861
116266,FR,655
116267,FR,385
116268,UK,211
116269,UK,216
116270,UK,104
116271,UK,467
116272,FR,959
116273,FR,976
116274,DE,284
116275,UK,159
116276,UK,722
116277,UK,992
116278,FR,215
116279,DE,972
116280,UK,38
116281,FR,895
116282,FR,173
116283,UK,361
116284,UK,418
116285,FR,167
116286,UK,3
116287,UK,743
116288,FR,910
116289,FR,271
116290,UK,524
116291,UK,293
116292,UK,713
116293,DE,293
116294,UK,184
116295,UK,384
116296,FR,265
116297,UK,707
116298,FR,907
116299,UK,130
116300,UK,692
116301,UK,323
116302,UK,204
116303,FR,511
116304,DE,933
116305,UK,610
116306,UK,515
116307,UK,638
116308,DE,58
116309,DE,27
116310,UK,267
116311,UK,359
116312,UK,87
116313,UK,351
116314,UK,885
116315,UK,965
116316,UK,504
116317,UK,876
116318,FR,739
116319,FR,268
116320,UK,358
116321,UK,906
116322,FR,444
116323,UK,60
116324,DE,543
116325,UK,499
116326,FR,800
116327,FR,911
116328,UK,381
116329,DE,77
116330,DE,960
116331,FR,548
116332,UK,345
116333,UK,775
116334,DE,641
116335,FR,269
116336,FR,869
116337,DE,480
116338,DE,578
116339,UK,935
116340,FR,32
116341,FR,828
116342,FR,112
116343,UK,307
116344,DE,163
116345,FR,424
116346,UK,522
116347,DE,985
116348,FR,344
116349,FR,812
116350,UK,537
116351,UK,908
116352,FR,105
116353,UK,214
116354,UK,777
116355,DE,721
116356,UK,524
116357,UK,166
116358,UK,996
116359,FR,967
116360,FR,248
116361,FR,671
116362,UK,707
116363,UK,949
116364,UK,98
116365,DE,15
116366,DE,613
116367,FR,837
116368,FR,819
116369,DE,442
116370,FR,622
116371,DE,404
116372,UK,459
116373,DE,806
116374,FR,56
116375,FR,556
116376,UK,551
116377,FR,325
116378,DE,373
116379,DE,177
116380,UK,195
116381,UK,512
116382,UK,274
116383,UK,813
116384,FR,932
116385,DE,105
116386,FR,298
116387,DE,696
116388,UK,644
116389,UK,577
116390,UK,307
116391,DE,0
116392,DE,14
116393,UK,830
116394,DE,137
116395,DE,77
116396,UK,242
116397,DE,193
116398,FR,76
116399,UK,343
116400,UK,838
116401,UK,196
116402,DE,153
116403,FR,938
116404,UK,395
116405,DE,114
116406,UK,912
116407,UK,40
116408,UK,245
116409,DE,720
116410,FR,522
116411,FR,956
116412,FR,557
116413,DE,575
116414,FR,277
116415,DE,88
116416,FR,800
116417,UK,515
116418,DE,461
116419,DE,425
116420,FR,791
116421,UK,781
116422,FR,423
116423,DE,269
116424,DE,112
116425,UK,453
116426,DE,256
116427,FR,266
116428,FR,922
116429,UK,691
116430,FR,769
116431,DE,242
116432,UK,48
116433,UK,289
116434,FR,602
116435,UK,228
116436,UK,805
116437,UK,905
116438,UK,459
116439,DE,564
116440,FR,877
116441,UK,720
116442,UK,674
116443,UK,62
116444,DE,13
116445,UK,152
116446,UK,157
116447,UK,560
116448,UK,766
116449,UK,451
116450,FR,683
116451,UK,527
116452,FR,901
116453,FR,702
116454,UK,33
116455,DE,622
116456,UK,724
116457,DE,132
116458,UK,633
116459,DE,279
116460,UK,921
116461,FR,509
116462,FR,517
116463,DE,433
116464,DE,974
116465,DE,958
116466,FR,484
116467,UK,634
116468,FR,464
116469,UK,714
116470,DE,714
116471,UK,972
116472,DE,851
116473,FR,381
116474,UK,906
116475,UK,422
116476,DE,406
116477,FR,594
116478,FR,867
116479,FR,346
116480,FR,933
116481,UK,52
116482,FR,719
116483,FR,301
116484,UK,18
116485,UK,150
116486,UK,187
116487,DE,718
116488,UK,12
116489,DE,488
116490,FR,486
116491,UK,491
116492,FR,78
116493,UK,651
116494,DE,557
116495,UK,539
116496,FR,624
116497,DE,387
116498,UK,501
116499,FR,430
116500,FR,652
116501,UK,468
116502,FR,760
116503,FR,740
116504,UK,296
116505,UK,280
116506,FR,276
116507,FR,566
116508,UK,697
116509,UK,874
116510,FR,168
116511,UK,933
116512,FR,468
116513,DE,390
116514,DE,435
116515,UK,668
116516,FR,350
116517,DE,116
116518,FR,870
116519,FR,371
116520,FR,945
116521,UK,13
116522,UK,230
116523,UK,468
116524,UK,876
116525,DE,889
116526,UK,977
116527,DE,950
116528,DE,934
116529,FR,906
116530,UK,681
116531,DE,470
116532,DE,138
116533,FR,916
116534,UK,821
116535,UK,682
116536,DE,852
116537,FR,42
116538,UK,579
116539,FR,570
116540,UK,898
116541,UK,401
116542,FR,768
116543,DE,727
116544,FR,117
116545,DE,699
116546,UK,692
116547,UK,134
116548,FR,203
116549,UK,379
116550,UK,641
116551,UK,704
116552,FR,944
116553,FR,55
116554,DE,513
116555,DE,351
116556,FR,462
116557,UK,411
116558,DE,137
116559,UK,477
116560,DE,38
116561,FR,427
116562,UK,222
116563,UK,378
116564,DE,675
116565,FR,754
116566,FR,796
116567,FR,461
116568,FR,785
116569,DE,296
116570,UK,590
116571,UK,651
116572,UK,355
116573,UK,895
116574,UK,473
116575,DE,349
116576,FR,342
116577,DE,302
116578,UK,537
116579,FR,555
116580,UK,761
116581,UK,424
116582,UK,661
116583,UK,967
116584,FR,736
116585,UK,270
116586,UK,811
116587,UK,918
116588,FR,285
116589,UK,639
116590,UK,929
116591,UK,307
116592,UK,46
116593,UK,461
116594,DE,488
116595,DE,398
116596,FR,122
116597,UK,42
116598,UK,64
116599,DE,174
116600,DE,917
116601,DE,239
116602,FR,637
116603,FR,286
116604,UK,483
116605,UK,946
116606,UK,361
116607,DE,503
116608,UK,59
116609,FR,748
116610,DE,578
116611,UK,889
116612,DE,376
116613,DE,611
116614,DE,167
116615,UK,103
116616,DE,22
116617,DE,431
116618,FR,910
116619,DE,93
116620,DE,108
116621,DE,455
116622,FR,104
116623,UK,662
116624,UK,511
116625,UK,243
116626,DE,423
116627,DE,857
116628,UK,528
116629,FR,209
116630,UK,556
116631,UK,9
116632,DE,636
116633,UK,615
116634,UK,875
116635,DE,712
116636,FR,986
116637,UK,316
116638,UK,636
116639,UK,171
116640,DE,7
116641,DE,313
116642,UK,816
116643,DE,497
116644,UK,886
116645,DE,798
116646,UK,90
116647,UK,405
116648,DE,755
116649,UK,886
116650,FR,188
116651,DE,549
116652,FR,652
116653,FR,273
116654,UK,160
116655,UK,496
116656,UK,154
116657,UK,720
116658,UK,743
116659,DE,230
116660,FR,246
116661,UK,474
116662,DE,143
116663,DE,345
116664,FR,579
116665,DE,340
116666,FR,620
116667,DE,664
116668,UK,453
116669,DE,98
116670,UK,335
116671,DE,874
116672,UK,865
116673,FR,361
116674,UK,133
116675,UK,396
116676,FR,879
116677,UK,621
116678,FR,182
116679,DE,486
116680,DE,414
116681,FR,234
116682,UK,407
116683,FR,428
116684,DE,245
116685,FR,558
116686,FR,828
116687,DE,574
116688,FR,323
116689,UK,650
116690,DE,953
116691,UK,449
116692,DE,31
116693,DE,448
116694,FR,22
116695,DE,528
116696,FR,798
116697,FR,488
116698,FR,346
116699,UK,254
116700,DE,800
116701,UK,461
116702,FR,113
116703,FR,17
116704,UK,294
116705,UK,151
116706,UK,282
116707,UK,172
116708,UK,418
116709,FR,461
116710,FR,112
116711,DE,670
116712,DE,851
116713,FR,56
116714,UK,348
116715,UK,861
116716,DE,582
116717,FR,889
116718,DE,457
116719,FR,467
116720,FR,551
116721,UK,901
116722,FR,369
116723,FR,315
116724,DE,617
116725,DE,985
116726,UK,959
116727,UK,232
116728,DE,711
116729,UK,631
116730,UK,974
116731,UK,926
116732,DE,251
116733,UK,779
116734,DE,990
116735,UK,17
116736,UK,900
116737,UK,963
116738,DE,347
116739,DE,174
116740,FR,484
116741,UK,822
116742,FR,777
116743,DE,765
116744,UK,802
116745,DE,725
116746,FR,282
116747,UK,299
116748,DE,341
116749,DE,301
116750,UK,102
116751,UK,477
116752,UK,476
116753,DE,876
116754,DE,333
116755,FR,682
116756,UK,70
116757,FR,547
116758,FR,451
116759,UK,531
116760,FR,370
116761,FR,434
116762,FR,103
116763,UK,596
116764,DE,449
116765,DE,944
116766,FR,611
116767,UK,576
116768,UK,852
116769,UK,221
116770,DE,645
116771,DE,697
116772,FR,298
116773,DE,16
116774,UK,215
116775,UK,591
116776,FR,676
116777,FR,178
116778,DE,857
116779,FR,629
116780,UK,41
116781,DE,945
116782,FR,124
116783,UK,898
116784,UK,857
116785,UK,635
116786,UK,578
116787,UK,827
116788,UK,993
116789,DE,869
116790,DE,161
116791,UK,907
116792,DE,398
116793,UK,63
116794,UK,481
116795,FR,181
116796,UK,750
116797,DE,60
116798,DE,481
116799,DE,770
116800,FR,126
116801,UK,10
116802,UK,676
116803,DE,63
116804,DE,453
116805,UK,48
116806,UK,553
116807,UK,27
116808,DE,63
116809,DE,223
116810,DE,303
116811,DE,758
116812,FR,251
116813,UK,951
116814,UK,447
116815,FR,778
116816,DE,601
116817,DE,596
116818,UK,873
116819,DE,849
116820,FR,477
116821,FR,403
116822,UK,12
116823,DE,916
116824,DE,284
116825,UK,824
116826,UK,609
116827,UK,63
116828,FR,475
116829,DE,26
116830,DE,618
116831,FR,523
116832,UK,738
116833,FR,524
116834,FR,367
116835,FR,901
116836,DE,234
116837,UK,499
116838,UK,229
116839,DE,243
116840,UK,707
116841,FR,991
116842,FR,775
116843,UK,569
116844,DE,449
116845,UK,956
116846,UK,849
116847,UK,309
116848,FR,456
116849,DE,671
116850,DE,170
116851,FR,491
116852,DE,207
116853,FR,81
116854,UK,861
116855,UK,775
116856,UK,104
116857,UK,120
116858,FR,724
116859,DE,840
116860,DE,914
116861,FR,447
116862,UK,668
116863,UK,617
116864,UK,553
116865,FR,220
116866,UK,562
116867,UK,860
116868,DE,290
116869,DE,608
116870,DE,974
116871,FR,392
116872,UK,579
116873,FR,861
116874,DE,373
116875,DE,782
116876,DE,507
116877,UK,994
116878,DE,324
116879,DE,959
116880,UK,653
116881,UK,666
116882,DE,639
116883,DE,624
116884,FR,956
116885,UK,972
116886,FR,499
116887,DE,15
116888,UK,558
116889,FR,554
116890,DE,144
116891,DE,21
116892,UK,398
116893,UK,41
116894,UK,775
116895,UK,73
116896,FR,414
116897,UK,710
116898,UK,107
116899,FR,716
116900,DE,766
116901,UK,999
116902,UK,503
116903,UK,677
116904,UK,763
116905,UK,995
116906,DE,510
116907,UK,662
116908,UK,672
116909,UK,981
116910,UK,730
116911,UK,593
116912,DE,851
116913,DE,428
116914,FR,774
116915,UK,672
116916,UK,486
116917,UK,885
116918,DE,80
116919,FR,478
116920,FR,170
116921,DE,638
116922,UK,769
116923,FR,684
116924,DE,720
116925,FR,209
116926,UK,241
116927,DE,544
116928,UK,725
116929,FR,819
116930,UK,705
116931,DE,655
116932,DE,82
116933,FR,451
116934,UK,986
116935,UK,879
116936,UK,713
116937,UK,206
116938,DE,765
116939,FR,926
116940,FR,414
116941,FR,150
116942,UK,414
116943,UK,729
116944,UK,118
116945,UK,61
116946,DE,882
116947,FR,386
116948,DE,176
116949,DE,112
116950,FR,66
116951,UK,598
116952,UK,802
116953,UK,60
116954,UK,652
116955,DE,765
116956,FR,527
116957,UK,67
116958,UK,809
116959,FR,377
116960,DE,163
116961,UK,326
116962,FR,429
116963,DE,13
116964,FR,654
116965,UK,592
116966,DE,383
116967,FR,328
116968,UK,676
116969,UK,902
116970,UK,199
116971,DE,441
116972,FR,959
116973,FR,519
116974,FR,942
116975,FR,218
116976,FR,749
116977,UK,360
116978,FR,463
116979,UK,597
116980,DE,810
116981,FR,552
116982,UK,315
116983,DE,645
116984,DE,984
116985,UK,147
116986,FR,745
116987,FR,969
116988,DE,224
116989,UK,308
116990,FR,474
116991,UK,430
116992,DE,895
116993,UK,980
116994,UK,799
116995,FR,184
116996,FR,810
116997,UK,565
116998,UK,218
116999,FR,463
117000,FR,808
117001,FR,561
117002,FR,282
117003,UK,653
117004,FR,956
117005,UK,452
117006,DE,27
117007,FR,124
117008,FR,763
117009,UK,983
117010,FR,753
117011,UK,342
117012,UK,591
117013,UK,478
117014,DE,961
117015,UK,274
117016,UK,469
117017,UK,289
117018,UK,16
117019,FR,324
117020,UK,340
117021,FR,33
117022,DE,643
117023,FR,234
117024,UK,189
117025,DE,542
117026,UK,414
117027,UK,393
117028,DE,756
117029,FR,537
117030,UK,7
117031,UK,866
117032,FR,441
117033,DE,651
117034,DE,137
117035,DE,190
117036,FR,12
117037,FR,793
117038,FR,322
117039,FR,941
117040,FR,583
117041,FR,510
117042,UK,734
117043,FR,380
117044,FR,321
117045,DE,814
117046,DE,195
117047,UK,744
117048,UK,377
117049,UK,21
117050,UK,944
117051,UK,978
117052,DE,338
117053,FR,310
117054,FR,102
117055,UK,712
117056,FR,695
117057,FR,641
117058,UK,599
117059,DE,658
117060,UK,894
117061,UK,513
117062,UK,889
117063,DE,626
117064,DE,871
117065,UK,280
117066,FR,594
117067,DE,547
117068,UK,49
117069,UK,628
117070,UK,579
117071,FR,777
117072,UK,985
117073,FR,506
117074,UK,726
117075,UK,591
117076,UK,211
117077,DE,959
117078,FR,134
117079,UK,558
117080,DE,467
117081,UK,278
117082,FR,996
117083,UK,503
117084,UK,556
117085,FR,364
117086,FR,915
117087,UK,612
117088,DE,888
117089,FR,706
117090,DE,348
117091,UK,276
117092,DE,925
117093,UK,928
117094,UK,559
117095,DE,938
117096,UK,817
117097,DE,924
117098,UK,789
117099,DE,182
117100,UK,384
117101,FR,495
117102,FR,788
117103,DE,330
117104,UK,562
117105,DE,770
117106,FR,771
117107,FR,670
117108,FR,253
117109,UK,991
117110,UK,369
117111,DE,486
117112,DE,887
117113,UK,358
117114,UK,172
117115,DE,799
117116,FR,959
117117,FR,2
117118,UK,448
117119,FR,329
117120,FR,222
117121,FR,557
117122,FR,847
117123,UK,582
117124,DE,299
117125,UK,603
117126,UK,168
117127,DE,565
117128,DE,467
117129,FR,499
117130,FR,696
117131,DE,281
117132,FR,898
117133,UK,241
117134,FR,869
117135,DE,500
117136,DE,572
117137,FR,799
117138,DE,283
117139,DE,253
117140,DE,758
117141,DE,857
117142,DE,101
117143,UK,50
117144,DE,227
117145,DE,687
117146,UK,724
117147,UK,778
117148,FR,621
117149,FR,155
117150,FR,423
117151,UK,246
117152,UK,832
117153,UK,406
117154,UK,293
117155,FR,411
117156,UK,397
117157,UK,895
117158,UK,60
117159,FR,139
117160,UK,939
117161,UK,102
117162,UK,639
117163,UK,248
117164,UK,310
117165,FR,251
117166,UK,529
117167,FR,758
117168,DE,69
117169,FR,791
117170,FR,955
117171,DE,671
117172,DE,997
117173,DE,983
117174,DE,914
117175,FR,90
117176,DE,680
117177,UK,940
117178,UK,661
117179,UK,877
117180,UK,536
117181,DE,643
117182,UK,826
117183,FR,627
117184,FR,288
117185,UK,541
117186,DE,634
117187,DE,341
117188,FR,641
117189,DE,550
117190,DE,455
117191,UK,967
117192,DE,369
117193,DE,345
117194,UK,487
117195,UK,203
117196,FR,7
117197,FR,195
117198,UK,210
117199,UK,401
117200,UK,244
117201,UK,780
117202,DE,810
117203,DE,116
117204,DE,509
117205,DE,723
117206,FR,426
117207,UK,253
117208,DE,947
117209,UK,831
117210,UK,883
117211,DE,980
117212,FR,338
117213,DE,969
117214,UK,73
117215,FR,226
117216,UK,198
117217,FR,438
117218,DE,722
117219,UK,195
117220,UK,693
117221,DE,970
117222,FR,190
117223,UK,799
117224,UK,798
117225,UK,253
117226,FR,904
117227,FR,492
117228,UK,957
117229,FR,596
117230,DE,370
117231,DE,730
117232,UK,327
117233,UK,122
117234,DE,795
117235,DE,29
117236,UK,539
117237,DE,486
117238,UK,970
117239,FR,724
117240,FR,239
117241,UK,428
117242,FR,534
117243,UK,282
117244,DE,811
117245,DE,265
117246,UK,549
117247,DE,342
117248,FR,675
117249,FR,291
117250,UK,327
117251,DE,136
117252,FR,822
117253,DE,410
117254,FR,139
117255,UK,104
117256,DE,164
117257,FR,513
117258,UK,397
117259,UK,407
117260,DE,674
117261,FR,747
117262,FR,337
117263,DE,404
117264,UK,680
117265,FR,174
117266,FR,464
117267,UK,804
117268,DE,697
117269,UK,708
117270,FR,86
117271,FR,640
117272,UK,456
117273,UK,555
117274,FR,848
117275,UK,887
117276,UK,787
117277,UK,758
117278,DE,60
117279,DE,597
117280,UK,651
117281,UK,644
117282,FR,155
117283,UK,471
117284,UK,623
117285,DE,43
117286,UK,279
117287,UK,219
117288,UK,207
117289,UK,13
117290,FR,136
117291,FR,426
117292,UK,61
117293,FR,432
117294,UK,317
117295,FR,371
117296,FR,619
117297,FR,548
117298,DE,929
117299,UK,948
117300,UK,920
117301,DE,51
117302,FR,80
117303,UK,306
117304,DE,739
117305,UK,162
117306,UK,545
117307,DE,166
117308,UK,325
117309,DE,725
117310,FR,904
117311,UK,98
117312,UK,761
117313,DE,598
117314,UK,580
117315,FR,407
117316,DE,404
117317,UK,65
117318,DE,420
117319,FR,858
117320,DE,966
117321,DE,757
117322,FR,161
117323,DE,135
117324,FR,127
117325,UK,976
117326,UK,245
117327,FR,409
117328,FR,943
117329,DE,131
117330,UK,631
117331,FR,903
117332,UK,900
117333,UK,291
117334,UK,531
117335,FR,282
117336,FR,612
117337,DE,162
117338,FR,796
117339,UK,379
117340,FR,496
117341,DE,614
117342,FR,610
117343,UK,769
117344,FR,43
117345,DE,510
117346,UK,551
117347,FR,532
117348,FR,745
117349,UK,552
117350,DE,740
117351,DE,746
117352,UK,207
117353,DE,562
117354,FR,94
117355,UK,542
117356,UK,867
117357,UK,208
117358,DE,439
117359,FR,32
117360,DE,825
117361,DE,733
117362,UK,349
117363,DE,46
117364,DE,661
117365,DE,333
117366,UK,676
117367,UK,253
117368,DE,4
117369,FR,583
117370,DE,543
117371,DE,982
117372,FR,802
117373,UK,736
117374,FR,263
117375,UK,62
117376,FR,641
117377,FR,353
117378,UK,198
117379,DE,583
117380,UK,559
117381,DE,298
117382,UK,1
117383,FR,333
117384,FR,349
117385,FR,976
117386,UK,890
117387,DE,697
117388,FR,949
117389,UK,966
117390,FR,991
117391,FR,338
117392,FR,565
117393,DE,521
117394,FR,835
117395,FR,308
117396,UK,307
117397,UK,744
117398,DE,585
117399,DE,404
117400,UK,372
117401,FR,250
117402,DE,189
117403,FR,934
117404,FR,340
117405,FR,119
117406,FR,462
117407,UK,813
117408,DE,16
117409,DE,557
117410,UK,282
117411,UK,188
117412,UK,811
117413,FR,76
117414,UK,445
117415,UK,488
117416,FR,163
117417,FR,520
117418,UK,242
117419,UK,67
117420,DE,658
117421,FR,1
117422,DE,370
117423,FR,309
117424,UK,317
117425,UK,558
117426,DE,166
117427,FR,715
117428,UK,483
117429,UK,79
117430,DE,684
117431,UK,668
117432,DE,155
117433,UK,789
117434,UK,159
117435,UK,492
117436,FR,160
117437,UK,871
117438,UK,624
117439,FR,650
117440,FR,376
117441,DE,611
117442,UK,697
117443,UK,592
117444,DE,261
117445,UK,289
117446,UK,551
117447,UK,363
117448,DE,694
117449,FR,451
117450,UK,556
117451,DE,274
117452,DE,718
117453,UK,570
117454,UK,873
117455,UK,5
117456,FR,897
117457,UK,151
117458,UK,37
117459,UK,57
117460,UK,858
117461,FR,490
117462,DE,379
117463,UK,721
117464,UK,852
117465,DE,388
117466,UK,952
117467,DE,197
117468,FR,219
117469,UK,370
117470,DE,165
117471,UK,888
117472,FR,89
117473,UK,798
117474,UK,692
117475,UK,947
117476,DE,102
117477,DE,575
117478,FR,225
117479,FR,301
117480,FR,905
117481,FR,635
117482,UK,769
117483,UK,212
117484,FR,297
117485,UK,981
117486,DE,523
117487,FR,464
117488,UK,312
117489,FR,745
117490,UK,448
117491,DE,775
117492,UK,601
117493,FR,401
117494,UK,527
117495,DE,793
117496,DE,847
117497,DE,716
117498,UK,600
117499,DE,645
117500,UK,208
117501,DE,436
117502,FR,388
117503,FR,918
117504,UK,738
117505,DE,334
117506,UK,491
117507,UK,157
117508,UK,338
117509,UK,769
117510,UK,88
117511,FR,868
117512,FR,995
117513,UK,203
117514,FR,10
117515,UK,839
117516,DE,310
117517,FR,825
117518,UK,142
117519,DE,895
117520,DE,634
117521,FR,129
117522,DE,498
117523,DE,841
117524,UK,384
117525,DE,462
117526,FR,153
117527,DE,239
117528,DE,502
117529,UK,905
117530,UK,882
117531,FR,567
117532,UK,750
117533,UK,771
117534,DE,419
117535,DE,300
117536,DE,110
117537,FR,280
117538,UK,918
117539,UK,352
117540,FR,615
117541,DE,549
117542,DE,458
117543,FR,120
117544,UK,577
117545,UK,741
117546,DE,423
117547,FR,156
117548,UK,784
117549,UK,568
117550,DE,199
117551,UK,346
117552,UK,907
117553,UK,402
117554,FR,522
117555,UK,302
117556,FR,150
117557,FR,446
117558,DE,153
117559,DE,373
117560,UK,545
117561,FR,302
117562,UK,575
117563,DE,931
117564,FR,718
117565,UK,941
117566,DE,667
117567,UK,126
117568,DE,420
117569,FR,442
117570,FR,739
117571,UK,989
117572,UK,188
117573,DE,821
117574,FR,704
117575,FR,163
117576,DE,256
117577,UK,723
117578,UK,65
117579,FR,86
117580,FR,308
117581,FR,548
117582,DE,365
117583,DE,818
117584,FR,276
117585,DE,754
117586,UK,391
117587,UK,766
117588,DE,421
117589,UK,743
117590,FR,380
117591,UK,328
117592,UK,509
117593,DE,869
117594,UK,564
117595,UK,307
117596,FR,140
117597,FR,505
117598,DE,40
117599,FR,152
117600,UK,236
117601,UK,27
117602,UK,582
117603,DE,512
117604,FR,13
117605,DE,836
117606,UK,213
117607,DE,908
117608,UK,690
117609,UK,419
117610,FR,406
117611,UK,551
117612,FR,867
117613,UK,170
117614,FR,765
117615,UK,454
117616,UK,53
117617,UK,960
117618,DE,856
117619,UK,32
117620,FR,237
117621,FR,210
117622,FR,331
117623,FR,328
117624,UK,638
117625,UK,541
117626,FR,359
117627,DE,0
117628,DE,417
117629,FR,906
117630,UK,248
117631,UK,92
117632,UK,471
117633,DE,169
117634,DE,708
117635,FR,160
117636,DE,104
117637,UK,250
117638,FR,986
117639,UK,50
117640,DE,354
117641,UK,480
117642,DE,621
117643,DE,462
117644,FR,92
117645,DE,647
117646,DE,950
117647,FR,266
117648,UK,962
117649,UK,889
117650,FR,649
117651,UK,274
117652,DE,990
117653,FR,657
117654,DE,503
117655,FR,709
117656,DE,760
117657,FR,42
117658,DE,67
117659,DE,839
117660,UK,580
117661,UK,111
117662,DE,832
117663,DE,835
117664,UK,414
117665,UK,64
117666,FR,76
117667,FR,91
117668,UK,829
117669,FR,383
117670,DE,662
117671,FR,989
117672,UK,661
117673,UK,397
117674,FR,760
117675,UK,280
117676,DE,293
117677,UK,707
117678,UK,449
117679,UK,163
117680,UK,372
117681,DE,558
117682,UK,414
117683,DE,677
117684,DE,385
117685,DE,901
117686,FR,968
117687,DE,560
117688,FR,412
117689,DE,931
117690,UK,654
117691,UK,685
117692,DE,738
117693,UK,532
117694,FR,688
117695,UK,448
117696,FR,907
117697,DE,204
117698,FR,354
117699,UK,460
117700,DE,13
117701,FR,969
117702,UK,25
117703,UK,333
117704,FR,992
117705,UK,654
117706,FR,650
117707,UK,519
117708,UK,813
117709,UK,997
117710,FR,891
117711,UK,995
117712,UK,757
117713,UK,819
117714,FR,271
117715,UK,123
117716,FR,738
117717,DE,889
117718,FR,396
117719,FR,958
117720,UK,354
117721,UK,910
117722,FR,756
117723,FR,417
117724,UK,973
117725,UK,812
117726,FR,836
117727,UK,986
117728,UK,16
117729,UK,289
117730,UK,934
117731,DE,287
117732,DE,837
117733,UK,152
